iteration,iteration_started_at,sample_timestamp,pair,pair_key,hops,src_container,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct,error
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:55.739979,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,31,True,325.125781,0.05,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:56.076391,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,32,True,239.903304,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:56.326392,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,33,True,347.595144,6.5,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:56.685377,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,34,True,343.341562,0.113,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:57.041869,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,35,True,210.806271,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:57.263025,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,36,True,325.633887,8.81,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:57.598898,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,37,True,212.660357,0.049,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:57.822083,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,38,True,299.647659,8.84,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:58.132090,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,39,True,314.138945,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:58.458603,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,40,True,289.466595,0.044,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:58.759329,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,41,True,154.966561,0.044,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:58.924598,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,42,True,211.873182,0.039,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:59.146605,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,43,True,195.410295,0.152,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:59.355477,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,44,True,169.411433,0.043,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:59.535652,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,45,True,217.702975,5.85,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:59.764073,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,46,True,149.28702,0.227,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:59.924082,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,47,True,374.23869,0.052,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:00.309100,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,48,True,146.125959,0.05,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:00.468716,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,49,True,146.984221,0.042,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:00.626062,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,50,True,322.206972,0.049,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:00.948330,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,1,True,306.687872,0.061,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:01.265824,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,2,True,220.071551,0.061,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:01.496378,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,3,True,118.370646,0.054,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:01.624829,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,4,True,310.496394,0.088,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:01.949840,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,5,True,233.113763,0.052,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:02.193586,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,6,True,149.420688,0.065,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:02.356264,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,7,True,268.365782,13.3,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:02.635257,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,8,True,223.071533,0.06,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:02.869281,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,9,True,153.669286,0.059,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:03.033985,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,10,True,154.539185,0.059,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:03.198939,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,11,True,284.450772,0.069,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:03.495810,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,12,True,273.223482,0.062,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:03.780075,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,13,True,157.923186,2.16,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:03.948122,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,14,True,330.01813,0.183,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:04.288227,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,15,True,230.318664,0.066,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:04.529379,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,16,True,147.491449,0.557,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:04.687949,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,17,True,145.613581,0.065,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:04.844031,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,18,True,250.28462,0.063,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:05.104814,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,19,True,191.4661,0.057,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:05.308171,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,20,True,165.758143,0.067,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:05.484548,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,21,True,171.744124,0.639,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:05.666794,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,22,True,134.247244,0.062,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:05.811326,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,23,True,188.372829,0.33,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:06.010181,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,24,True,213.690215,11.4,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:06.234383,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,25,True,180.138205,0.057,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:06.424785,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,26,True,324.695455,0.053,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:06.760037,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,27,True,180.616519,0.063,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:06.955778,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,28,True,230.108679,1.55,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:07.196475,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,29,True,284.755163,0.062,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:07.491500,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,30,True,213.726868,0.053,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:07.716038,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,31,True,216.383098,0.061,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:07.943134,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,32,True,154.728633,1.24,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:08.108536,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,33,True,303.12406,0.063,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:08.423114,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,34,True,219.233664,0.058,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:08.653035,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,35,True,225.559011,0.063,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:08.889027,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,36,True,273.163586,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:09.172387,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,37,True,194.395036,0.062,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:09.377821,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,38,True,266.853073,0.058,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:09.654864,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,39,True,363.383418,0.061,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:10.029559,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,40,True,248.344882,5.98,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:10.289001,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,41,True,171.727393,0.058,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:10.471152,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,42,True,245.670715,0.058,0.0,
