Nodes,Mean_Throughput_Mbps,Median_Throughput_Mbps,Min_Throughput_Mbps,Max_Throughput_Mbps,Std_Throughput_Mbps
R1-R2,58894.067,67144.231,16072.344,71520.607,17597.179
R1-R3,50928.509,60812.385,17148.912,63593.595,17751.86
R1-R6,55245.678,67098.454,19825.882,71399.042,19935.945
R2-R5,50726.374,55189.431,15671.771,58551.87,11842.651
R3-R2,56417.578,66743.337,3634.214,70695.781,19731.218
R3-R6,51931.125,54903.444,16271.096,57357.249,9643.425
R4-R5,56230.293,66800.155,18230.693,71232.994,19358.484
R4-R6,56477.576,61195.359,17400.317,64481.579,12474.816
R6-R1,53035.414,66633.889,10759.421,71151.817,21101.568
