Nodes,Hops,Platform,Max (ms),Min (ms),Mean (ms),Std Dev (ms),Median (ms),Jitter (ms),Samples
R1-R2,1,Mininet,12.3,0.02,0.24,0.93,0.03,0.37,24000
R1-R3,2,Mininet,15.5,0.02,0.3,1.18,0.04,0.47,24000
R1-R6,1,Mininet,20.2,0.02,0.23,0.91,0.03,0.36,24000
R2-R5,2,Mininet,21.5,0.03,0.33,1.27,0.04,0.51,24000
R3-R2,1,Mininet,11.9,0.02,0.23,0.91,0.03,0.35,24000
R3-R6,2,Mininet,21.3,0.03,0.33,1.26,0.04,0.51,24000
R4-R5,1,Mininet,15.0,0.02,0.24,0.95,0.03,0.37,24000
R4-R6,2,Mininet,14.6,0.02,0.31,1.2,0.04,0.49,24000
R6-R1,1,Mininet,12.8,0.02,0.23,0.93,0.03,0.36,24000
R1-R2,1,SEED IE,47.2,0.02,0.65,1.97,0.05,1.02,24000
R1-R3,2,SEED IE,52.9,0.03,0.83,2.77,0.06,1.31,24000
R1-R6,1,SEED IE,36.2,0.02,0.63,1.95,0.05,1.0,24000
R2-R5,2,SEED IE,61.2,0.03,0.91,3.13,0.07,1.41,24000
R3-R2,1,SEED IE,35.4,0.02,0.67,1.99,0.05,1.05,24000
R3-R6,2,SEED IE,60.5,0.03,0.91,3.12,0.07,1.42,24000
R4-R5,1,SEED IE,35.2,0.02,0.64,1.93,0.05,1.0,24000
R4-R6,2,SEED IE,42.0,0.03,0.84,2.77,0.06,1.33,24000
R6-R1,1,SEED IE,32.2,0.02,0.66,1.98,0.05,1.03,24000
