Nodes,Mean_Bandwidth_Mbps,Median_Bandwidth_Mbps,Min_Bandwidth_Mbps,Max_Bandwidth_Mbps,Std_Bandwidth_Mbps
R1-R2,59816.352,60075.315,50900.795,64288.973,2337.698
R1-R3,50319.282,50637.542,43928.42,54310.315,1964.611
R1-R6,59723.269,59924.858,50608.766,64599.467,2366.916
R2-R5,43503.03,43779.993,36898.097,46624.151,1824.166
R3-R2,60062.285,60039.235,52436.811,65262.603,2068.2
R3-R6,43231.676,43623.529,36827.408,47722.227,2078.644
R4-R5,60338.557,60571.335,52250.298,65495.209,2234.742
R4-R6,49522.168,50374.84,5155.645,53386.288,5020.997
R6-R1,60281.291,60324.397,54070.618,64794.234,1896.153
