Nodes,Mean_CPU_Percent,Median_CPU_Percent,Min_CPU_Percent,Max_CPU_Percent,Std_CPU_Percent,Mean_Memory_Percent,Median_Memory_Percent,Min_Memory_Percent,Max_Memory_Percent,Std_Memory_Percent
R1-R2,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R1-R3,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R1-R6,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R2-R5,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R3-R2,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R3-R6,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R4-R5,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R4-R6,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
R6-R1,0.283,0.253,0.084,0.926,0.14,10.717,10.702,10.571,10.903,0.084
