Nodes,Mean_Throughput_Mbps,Median_Throughput_Mbps,Min_Throughput_Mbps,Max_Throughput_Mbps,Std_Throughput_Mbps
R1-R2,59405.561,59675.92,50701.942,63922.93,2297.775
R1-R3,49845.976,50121.389,43750.049,53980.373,2062.375
R1-R6,59305.701,59470.579,50406.53,64184.719,2369.657
R2-R5,43218.746,43498.545,36742.513,46374.986,1802.239
R3-R2,59641.497,59616.615,51141.51,64876.675,2103.227
R3-R6,42883.837,43330.718,36682.38,47410.315,2042.963
R4-R5,59789.669,60266.727,38893.277,65197.507,3064.073
R4-R6,49003.886,50035.028,2791.791,53096.622,5337.207
R6-R1,59894.397,59956.758,52969.168,64377.407,1921.936
