Nodes,Mean_CPU_Percent,Median_CPU_Percent,Min_CPU_Percent,Max_CPU_Percent,Std_CPU_Percent,Mean_Memory_Percent,Median_Memory_Percent,Min_Memory_Percent,Max_Memory_Percent,Std_Memory_Percent
R1-R2,8.081,8.761,2.067,16.299,2.411,9.41,9.423,7.066,10.058,0.268
R1-R3,8.253,8.792,2.277,43.355,4.992,9.426,9.432,8.364,10.2,0.167
R1-R6,8.01,8.756,2.246,38.096,4.105,9.431,9.435,8.964,9.988,0.13
R2-R5,8.868,8.87,2.572,46.193,5.102,9.436,9.434,9.31,10.112,0.128
R3-R2,8.213,8.673,1.979,61.611,5.945,9.43,9.43,8.827,10.042,0.139
R3-R6,8.586,8.863,2.198,17.586,1.967,9.431,9.431,8.956,10.19,0.144
R4-R5,8.171,8.844,2.363,41.428,4.393,9.439,9.441,9.299,10.426,0.145
R4-R6,8.85,8.886,3.03,35.286,3.214,9.432,9.441,9.316,9.905,0.11
R6-R1,8.169,8.801,1.574,43.287,5.23,9.438,9.444,9.3,9.965,0.124
