Nodes,Mean_Bandwidth_Mbps,Median_Bandwidth_Mbps,Min_Bandwidth_Mbps,Max_Bandwidth_Mbps,Std_Bandwidth_Mbps
R1-R2,68352.624,68631.064,59119.521,73235.699,2542.213
R1-R3,61410.709,62329.53,19028.431,64287.989,5646.852
R1-R6,67878.671,68643.414,26600.063,72493.915,5023.073
R2-R5,55109.454,56115.995,16052.328,59221.719,5137.281
R3-R2,67070.475,68441.669,9631.538,72516.351,8379.272
R3-R6,55363.98,55767.773,46129.372,58019.494,1774.886
R4-R5,68048.559,68871.912,26448.57,72662.162,4880.088
R4-R6,61737.063,62212.693,28839.995,65054.191,3661.37
R6-R1,67188.114,68354.769,23438.181,71873.867,6517.971
