iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.308506,R1-R2,r1_r2,1,r1,r2,10.0.12.2,35,True,28.196521,0.023,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.347096,R1-R2,r1_r2,1,r1,r2,10.0.12.2,36,True,34.656346,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.392681,R1-R2,r1_r2,1,r1,r2,10.0.12.2,37,True,36.264268,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.439628,R1-R2,r1_r2,1,r1,r2,10.0.12.2,38,True,29.712086,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.479967,R1-R2,r1_r2,1,r1,r2,10.0.12.2,39,True,33.724095,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.524543,R1-R2,r1_r2,1,r1,r2,10.0.12.2,40,True,34.284471,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.587778,R1-R2,r1_r2,1,r1,r2,10.0.12.2,41,True,30.348164,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.629308,R1-R2,r1_r2,1,r1,r2,10.0.12.2,42,True,28.750727,0.035,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.668462,R1-R2,r1_r2,1,r1,r2,10.0.12.2,43,True,29.570898,0.098,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.710380,R1-R2,r1_r2,1,r1,r2,10.0.12.2,44,True,31.739536,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.752201,R1-R2,r1_r2,1,r1,r2,10.0.12.2,45,True,31.836418,0.028,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.795127,R1-R2,r1_r2,1,r1,r2,10.0.12.2,46,True,34.640516,2.45,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.840368,R1-R2,r1_r2,1,r1,r2,10.0.12.2,47,True,36.315865,1.54,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.886762,R1-R2,r1_r2,1,r1,r2,10.0.12.2,48,True,34.354891,0.025,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.931471,R1-R2,r1_r2,1,r1,r2,10.0.12.2,49,True,35.540493,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:12.977076,R1-R2,r1_r2,1,r1,r2,10.0.12.2,50,True,32.495614,0.297,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.009621,R1-R3,r1_r3,2,r1,r3,10.0.23.2,1,True,40.859235,0.302,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.062448,R1-R3,r1_r3,2,r1,r3,10.0.23.2,2,True,30.263748,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.102846,R1-R3,r1_r3,2,r1,r3,10.0.23.2,3,True,36.142426,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.156764,R1-R3,r1_r3,2,r1,r3,10.0.23.2,4,True,47.918282,0.835,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.215197,R1-R3,r1_r3,2,r1,r3,10.0.23.2,5,True,45.601768,6.46,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.271147,R1-R3,r1_r3,2,r1,r3,10.0.23.2,6,True,29.425299,0.044,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.311021,R1-R3,r1_r3,2,r1,r3,10.0.23.2,7,True,41.990088,6.76,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.363405,R1-R3,r1_r3,2,r1,r3,10.0.23.2,8,True,33.512898,0.042,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.407128,R1-R3,r1_r3,2,r1,r3,10.0.23.2,9,True,29.560472,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.447382,R1-R3,r1_r3,2,r1,r3,10.0.23.2,10,True,46.753594,0.048,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.507913,R1-R3,r1_r3,2,r1,r3,10.0.23.2,11,True,31.547536,0.04,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.550004,R1-R3,r1_r3,2,r1,r3,10.0.23.2,12,True,30.558137,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.590920,R1-R3,r1_r3,2,r1,r3,10.0.23.2,13,True,32.64949,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.633714,R1-R3,r1_r3,2,r1,r3,10.0.23.2,14,True,25.670885,0.039,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.673880,R1-R3,r1_r3,2,r1,r3,10.0.23.2,15,True,28.700622,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.712647,R1-R3,r1_r3,2,r1,r3,10.0.23.2,16,True,28.978875,0.037,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.752035,R1-R3,r1_r3,2,r1,r3,10.0.23.2,17,True,31.621602,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.794445,R1-R3,r1_r3,2,r1,r3,10.0.23.2,18,True,28.120339,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.832874,R1-R3,r1_r3,2,r1,r3,10.0.23.2,19,True,26.864051,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.870262,R1-R3,r1_r3,2,r1,r3,10.0.23.2,20,True,33.021882,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.914466,R1-R3,r1_r3,2,r1,r3,10.0.23.2,21,True,30.521984,0.042,0.0
